PROVIDER,CITY,COUNTRY
HELIOS KLINIKUM,FRANKFURT AM MAIN,GERMANY
HOSPITAL ZUM HEILIGEN GEIST GMBH,FRANKFURT AM MAIN,GERMANY
KARDIOCENTRUM FRANKFURT  AN DER KLINIK ROTES KREUZ,FRANKFURT AM MAIN,GERMANY
KRANKENHAUS NORDWEST,FRANKFURT AM MAIN,GERMANY
MARKUS-KRANKENHAUS,FRANKFURT AM MAIN,GERMANY
PROF. DR. BODO KRESS (KRANKENHAUS NORDWEST GMBH),FRANKFURT AM MAIN,GERMANY
UNIVERSITATS KLINIKUM FRANKFURT,FRANKFURT AM MAIN,GERMANY
CLEMENTINE KINDERHOSPITAL,FRANKFURT-AM-MAIN,GERMANY
AGAPLESION DIAKONIEKLINIKUM HAMBURG,HAMBURG,GERMANY
ALBERTINEN KRANKENHAUS ALBERTINEN-HAUS GGMBH,HAMBURG,GERMANY
ASB RETTUNGSDIENST HAMBURG,HAMBURG,GERMANY
ASKLEPIOS KLINIK ALTONA,HAMBURG,GERMANY
BETHESDA KRANKENHAUS BERGEDORF,HAMBURG,GERMANY
CATHOLIC CHILDREN'S HOSPITAL WILHELMSTIFT,HAMBURG,GERMANY
EV. AMALIE SIEVEKING-KRANKENHAUS,HAMBURG,GERMANY
KINDER KRANKENHAUS ALTONA,HAMBURG,GERMANY
MAMMAZENTRUM HAMBURG AM KRANKENHAUS JERUSALEM,HAMBURG,GERMANY
MARIEN KRANKENHAUS HAMBURG,HAMBURG,GERMANY
MARTINI-KLINIK AM UKE GMBH,HAMBURG,GERMANY
ZENTRALE NOTAUFNAHME (ZNA),HAMBURG,GERMANY
DRK-KRANKENHAUS CLEMENTINENHAUS,HANNOVER,GERMANY
KLINIKUM HANNOVER NORDSTADT,HANNOVER,GERMANY
KLINIKUM HANNOVER SILOAH,HANNOVER,GERMANY
KLINIKUM REGION HANNOVER GMBH,HANNOVER,GERMANY
LUKAS-KRANKENHAUS BAL DER MHH,HANNOVER,GERMANY
ATOS KLINIKZENTRUM HEIDELBERG,HEIDELBERG,GERMANY
ST. JOSEFSKRANKENHAUS,HEIDELBERG,GERMANY
EV. DIAKONISSENANSTALT KARLSRUHE,KARLSRUHE,GERMANY
STADTISCHES KLINIKUM KARLSRUHE,KARLSRUHE,GERMANY
ELISABETH KRANKENHAUS,KASSEL,GERMANY
KLINIKUM DER STADT LUDWIGSHAFEN AM RHEIN (CITY HOSPITAL),LUDWIGSHAFEN AM BODENSEE,GERMANY
UNIVERSITATSKLINIKUM MANNHEIM,MANNHEIM,GERMANY
DR. WEGMANN  KINDER UND JUGENDARZTPRAXIS,MARBURG,GERMANY
UNIVERSITÄTKLINIKUM GIEßEN UND MARBURG GMBH,MARBURG,GERMANY
UNIVERSITY HOSPITAL GIESSEN AND MARBURG (UNIVERSITATSKLINIKUM GIESSEN UND MARBURG - UKGM),MARBURG,GERMANY
CHIRURGISCHE PRAXISKLINIK  FISCHER ALEXANDER DR.MED.,MUNICH,GERMANY
DEUTSCHES HERZZENTRUM MUNCHEN,MUNICH,GERMANY
HELIOS KLINIKUM MÜNCHEN WEST,MUNICH,GERMANY
ISAR KLINIKUM,MUNICH,GERMANY
KLINIK AUGUSTINUM MÜNCHEN,MUNICH,GERMANY
KLINIKUM DER UNIVERSITAT MUNCHEN,MUNICH,GERMANY
KLINIKUM DER UNIVERSITÄT MÜNCHEN CAMPUS GROßHADERN,MUNICH,GERMANY
VISZERA GMBH,MUNICH,GERMANY
ZENTRALE ABRECHNUNGSTELLE FUER DEN RETTUNGSDIENST BAYERN GMBH,MUNICH,GERMANY
LUKAS KRANKENHAUS,NEUSS,GERMANY
ST. VINCENZ-KRANKENHAUS,PADERBORN,GERMANY
DIAKONIE-KLINIKUM STUTTGART,STUTTGART,GERMANY
KRANKENHAUS VOM ROTEN KREUZ,STUTTGART,GERMANY
MARIENHOSPITAL STUTTGART,STUTTGART,GERMANY
KNAPPSCHAFTSKLINIKUM SAAR GMBH,SULZBACH SAAR,GERMANY
CASA DI CURA ABANO TERME,ABANO TERME,ITALY
DENS ABBIATEGRASSO,ABBIATEGRASSO,ITALY
YOSHITAKA,ABBIATEGRASSO,ITALY
CENTRO EUROPEO DI OFTALMOLOGIA,ACI CASTELLO,ITALY
ASSOCIAZIONE J F KENNEDY ACIREALE,ACIREALE,ITALY
OSPEDALE F MIULLI,ACQUAVIVA DELLE FONTI,ITALY
HABILITA - CASA DI CURA VILLA IGEA,ACQUI TERME,ITALY
AGRIGENTO MEDICAL CENTER,AGRIGENTO,ITALY
ALBA SALUTE,ALBA,ITALY
POLIAMBULATORIO SAN PAOLO,ALBA,ITALY
ALBAMEDICA,ALBANO LAZIALE,ITALY
TUA MEDICA,ALBANO LAZIALE,ITALY
CLINICA SAN MICHELE,ALBENGA,ITALY
EUGANEA MEDICA DATA MEDICA PADOVA,ALBIGNASEGO,ITALY
POLIAMBULATORIO EUGANEA MEDICA,ALBIGNASEGO,ITALY
CDC CENTRO POLISPECIALISTICO PRIVATO,ALESSANDRIA,ITALY
CLINICA CITTA DI ALESSANDRIA,ALESSANDRIA,ITALY
ISTITUTO CLINICO SALUS,ALESSANDRIA,ITALY
SMILE MEDICAL CENTER POLIAMBULATORIO,ALME,ITALY
CMSR VENETO MEDICA,ALTAVILLA VICENTINA,ITALY
SANIMEDICA,ALTAVILLA VICENTINA,ITALY
JACARONI CENTRO DIAGNOSTICO,AMELIA,ITALY
AEMME MEDICA,ANAGNI,ITALY
CASA DI CURA VILLA IGEA,ANCONA,ITALY
GALEOTA DANGELO CLINICA POLISPECIALISTICA,ANCONA,ITALY
STUDIO GORRIERI PROIETTI,ANCONA,ITALY
IRV,AOSTA,ITALY
CASA DI CURA LE BETULLE,APPIANO GENTILE,ITALY
CASA DI CURA VILLA SILVANA,APRILIA,ITALY
CENTRO SANA,APRILIA,ITALY
CASA DI CURA EREMO DI ARCO,ARCO,ITALY
CENTRO MEDICO ARENZANO,ARENZANO,ITALY
CENTRO CHIRURGICO TOSCANO,AREZZO,ITALY
SAPRA SANITA,AREZZO,ITALY
CENTRO MEDICO ATHENA,ARIANO IRPINO,ITALY
CENTRO SANTA APOLLONIA,ASCOLI PICENO,ITALY
PRIME MED,ASSAGO,ITALY
CASA DI CURA SAINT ANNA SPA,ASTI,ITALY
CASA DI CURA SANTA RITA,ATRIPALDA,ITALY
MEDIC UP SRL,AUGUSTA,ITALY
AGM ORAL CENTER,AVELLINO,ITALY
BRAIN SRL AVELLINO,AVELLINO,ITALY
CDC MALZONI VILLA DEI PLATANI,AVELLINO,ITALY
VILLA ESTHER,AVELLINO,ITALY
CLINICA SAN PAOLO,AVERSA,ITALY
CASA DI CURA DI LORENZO,AVEZZANO,ITALY
ISTITUTO ORTOPEDICO RIZZOLI SICILIA,BAGHERIA,ITALY
CENTRO STUDI POSTURA,BARI,ITALY
GVM ANTHEA HOSPITAL,BARI,ITALY
OSPEDALE SANTA MARIA,BARI,ITALY
PIANETA SALUTE BARI POLIAMBULATORIO CENTRO MEDICO,BARI,ITALY
PROF VITO A TOMASICCHIO,BARI,ITALY
STATIC CENTRO CHIROTERAPEUTICO,BARI,ITALY
CENTRO MEDICO ARCHIMEDE,BARLETTA,ITALY
VILLA SALUS,BASTIA,ITALY
IANNIELLO GIUSEPPE,BATTIPAGLIA,ITALY
POLIAMBULATORIO SAN VITTORIO SRL,BELLUNO,ITALY
CENTRO DI RIABILITAZIONE RELAX,BENEVENTO,ITALY
CENTRO POLIDIAGNOSTICO GAMMACORD SANNIOTAC,BENEVENTO,ITALY
CLORINDO TRANFA,BENEVENTO,ITALY
BOCCALEONE SRL,BERGAMO,ITALY
CENTRO MEDICO MR,BERGAMO,ITALY
CLINICHE HUMANITAS GAVAZZENI,BERGAMO,ITALY
FORTIMED ITALIA,BERGAMO,ITALY
HABILITA - POLIAMBULATORIO SAN MARCO,BERGAMO,ITALY
HUMANITAS CASTELLI,BERGAMO,ITALY
STUDIO ASSOCIATO ROTA VITALI,BERGAMO,ITALY
ADC POLIMEDICA,BESANA IN BRIANZA,ITALY
CDC CENTRO POLISPECIALISTICO PRIVATO,BIELLA,ITALY
LA VIALARDA,BIELLA,ITALY
CENTRO MEDICOLA MERIDIANA,BIENTINA,ITALY
BLUE SMILE BOLLATE,BOLLATE,ITALY
CASA DI CURA MADRE FORTUNATA TONIOLO,BOLOGNA,ITALY
CASA DI CURA VILLA ERBOSA,BOLOGNA,ITALY
CASA DI CURA VILLA LAURA,BOLOGNA,ITALY
CASA DI CURA VILLALBA,BOLOGNA,ITALY
CENTRO HERCOLANI,BOLOGNA,ITALY
CENTRO MEDICO SAN DONATO,BOLOGNA,ITALY
CENTRO MEDICO SANTAGOSTINO,BOLOGNA,ITALY
CENTRO SAN PETRONIO,BOLOGNA,ITALY
CLINICA BAVIERA,BOLOGNA,ITALY
GVM VILLA TORRI HOSPITAL,BOLOGNA,ITALY
ISTITUTO ORTOPEDICO RIZZOLI,BOLOGNA,ITALY
OSPEDALE PRIVATO VILLA REGINA,BOLOGNA,ITALY
POLIAMBULATORIO BOLDRINI 6,BOLOGNA,ITALY
POLIAMBULATORIO PRIVATO SINERGIA SRL,BOLOGNA,ITALY
POLIAMBULATORIO SAN CAMILLO,BOLOGNA,ITALY
TERME FELSINEE,BOLOGNA,ITALY
TERME SAN LUCA PLURICENTER,BOLOGNA,ITALY
TERME SAN PETRONIO ANTALGIK,BOLOGNA,ITALY
TRIPODO MAURIZIO,BOLOGNA,ITALY
WALTER MELIADO DR,BOLOGNA,ITALY
CASA DI CURA BONVICINI,BOLZANO,ITALY
WELFARE ITALIA FAMILY SALUS,BOLZANO,ITALY
HESPERIA SERVIZI MEDICI,BORDIGHERA,ITALY
CENTRO MEDICO A BORGARTTO,BORGARETTO DI BEINASCO,ITALY
IDEALMEDICA,BORGORICCO,ITALY
IO SORRIDO,BORGORICCO,ITALY
CASA DI CURA CITTA DI BRA,BRA,ITALY
CASA DI CURA FONDAZ GAETANO E PIERA BORG,BREBBIA,ITALY
CENTRO OCULISTICO BRESCIANO,BRESCIA,ITALY
FONDAZ POLIAMBULANZA ISTITUTO OSPEDALIERO,BRESCIA,ITALY
ISTITUTO CLINICO CITTA DI BRESCIA,BRESCIA,ITALY
ISTITUTO CLINICO SANTA ANNA,BRESCIA,ITALY
S ANGELA SOCIETA COOPERATIVA SOCIALE ONLUS,BRESCIA,ITALY
STATIC CENTRO CHIROTERAPEUTICO DI BRESCIA,BRESCIA,ITALY
BRIXSANA PRIVATE CLINIC SRL,BRESSANONE,ITALY
CASA DI CURA SALUS,BRINDISI,ITALY
ISTITUTI CLINICI ZUCCHI BRUGHERIO,BRUGHERIO,ITALY
CENTRO MEDICO SANTAGOSTINO,BUCCINASCO,ITALY
POLIAMBULATORIO PRIVATO IL GIRASOLE BUDRIO,BUDRIO,ITALY
CASA DELLA SALUTE BUSALLA,BUSALLA,ITALY
FYSIOLAB,BUSTO ARSIZIO,ITALY
MEDICALB CENTRO POLISPECIALISTICO CITTA DI BUSTO ARSIZIO,BUSTO ARSIZIO,ITALY
SAN CARLO ISTITUTO CLINICO,BUSTO ARSIZIO,ITALY
ARCO DELLA SALUTE SRL,BUTTIGLIERA ALTA,ITALY
SERSAN RESCUE SERVICE,CAGLIARI,ITALY
MEDICALMED SRL,CALTANISSETTA,ITALY
AMBULATORI DELLA MISERICORDIA,CAMPI BISENZIO,ITALY
CASA DI CURA VILLA MARIA,CAMPOBASSO,ITALY
CENTRO RIABILITAZIONE E FIOSIOTERAPIA KINESIS,CAMPOBASSO,ITALY
POTITO MEDICO,CAMPOBASSO,ITALY
AURORA MEDICA TIBERINA,CAPENA,ITALY
POLICLINICO SAN LUCA,CARMAGNOLA,ITALY
HESPERIA DIAGNOSTIC CENTER,CARPI,ITALY
OSPEDALE RAMAZZINI DI CARPI,CARPI,ITALY
POLIAMBULATORIO LOSAM ALLIANCE MEDICAL,CARPI,ITALY
POLIAMBULATORIO SAN NICOLO,CARPI,ITALY
POLIAMBULATORIO VILLA RICHELDI,CARPI,ITALY
CDC CENTRO POLISPECIALISTICO PRIVATO,CASALE MONFERRATO,ITALY
POLIAMBULATORIO PRIVATO RIVA RENO,CASALECCHIO DI RENO,ITALY
CENTRO DIAGNOSTICO CASERTANO,CASERTA,ITALY
CLINICA S ANNA,CASERTA,ITALY
VILLA DEL SOLE CLINICA,CASERTA,ITALY
CASA DI CURA PRIVATA SAINT ANNA,CASSINO,ITALY
CASA DI CURA VILLA SERENA CASSINO,CASSINO,ITALY
SAN RAFFAELE CASSINO,CASSINO,ITALY
POLIAMBULATORIO CASTELLANO WELFARE BOLOGNA,CASTEL SAN PIETRO TERME,ITALY
PINETA GRANDE HOSPITAL,CASTEL VOLTURNO,ITALY
CASA DELLA SALUTE REGINA MARGHERITA,CASTELFRANCO EMILIA,ITALY
CENTRO DIAGNOSTICO CASTELLANO,CASTELFRANCO VENETO,ITALY
ISTITUTO CLINICO MATER DOMINI,CASTELLANZA,ITALY
OSPEDALE MULTIMEDICA,CASTELLANZA,ITALY
GINNIC CLUB VANICO SRL,CASTELVETRANO,ITALY
CENTRO MEDICO CASTIGLIONESE SOCIETA RESPONSABILITA LIMITATA,CASTIGLIONE OLONA,ITALY
CENTRO CLINICO DIAGNOSTICO GB MORGAGNI,CATANIA,ITALY
CHECKUP CATANIA,CATANIA,ITALY
CLINICA DELLA VISIONE,CATANIA,ITALY
GIBIINO,CATANIA,ITALY
MATER DEI,CATANIA,ITALY
POLIAMBULATORIO ESCLAPIO SRL,CATANIA,ITALY
SANICAM CATANIA POLIAMBULATORIO SPECIALISTICO,CATANIA,ITALY
POLIAMBULATORIO GAMMA,CATANZARO,ITALY
SANT ANNA HOSPITAL,CATANZARO,ITALY
CHECKUP CENTRE,CAVALLINO,ITALY
CENTRO MEDICO SAN LORENZO,CAVOUR,ITALY
STUDIO GAGLIANONE CECINA,CECINA,ITALY
VILLA BIANCA SALUTE SRL,CELLINO SAN MARCO,ITALY
CENTRO MEDICO MEDEOR,CERNUSCO SUL NAVIGLIO,ITALY
ENJOY SPORT CENTER,CERNUSCO SUL NAVIGLIO,ITALY
CENTRO MEDICO POLISP PADRE PIO,CERVINARA,ITALY
CASA DI CURA AMBROSIANA,CESANO BOSCONE,ITALY
MALATESTA NOVELLO,CESENA,ITALY
UPMC INSTITUTE FOR HEALTH,CHIANCIANO TERME,ITALY
DIT DIAGNOSTICA IMMAGINI TIGULLIO,CHIAVARI,ITALY
VILLA RAVENNA MEDICINA CHIRURGIA DIAGNOSTICA,CHIAVARI,ITALY
CASA DI CURA SPATOCCO,CHIETI,ITALY
MALPIGHI CENTRO DIAGNOSTICO LTD,CHIVASSO,ITALY
ISTITUTO SALUS SRL,CIGLIANO,ITALY
CMP CENTRO MEDICO POLISPECSOCIETA RESPONSABILITA LIMITATA,CINISELLO BALSAMO,ITALY
GRUPPO LARC - POLIAMBULATORIO CIRIE,CIRIE,ITALY
TUCCI PIERFRANCESCO,CIRO MARINA,ITALY
HABILITA ISTITUTO DI NEURORIABILITAZIONE AD ALTA COMPLESSITÃ€ DI ZINGONIA,CISERANO,ITALY
MEDISPORT CENTER CITTA DELLA PIEVE,CITTA DELLA PIEVE,ITALY
CASA DI CURA VILLA SERENA DEL DR LEONARDO PETRUZZI,CITTA SANT ANGELO,ITALY
CASA DI CURA VILLA DEI PINI,CIVITANOVA MARCHE,ITALY
CENTRO DIAGNOSTICO BUONARROTI,CIVITAVECCHIA,ITALY
CLINICA SILIGATO,CIVITAVECCHIA,ITALY
HABILITA - POLIAMBULATORIO CLUSONE,CLUSONE,ITALY
POLIAMBULATORIO CITTA DI COLLECCHIO,COLLECCHIO,ITALY
CD SAN NICOLO SYNLAB COMO,COMO,ITALY
ISTITUTO CLINICO VILLA APRICA,COMO,ITALY
OSPEDALE VALDUCE,COMO,ITALY
VILLA LUCIA HOSPITAL,CONVERSANO,ITALY
CENTRO MEDICO ECOGRAFICO COPIANO,COPIANO,ITALY
CENTRO SINERGIA,CORCIANO,ITALY
ALLIANCE MEDICAL - ISTITUTO ANDREA CESALPINO,CORTONA,ITALY
BIOCONTROL CHECKUP,COSENZA,ITALY
IGRECO OSPEDALI RIUNITI - SACRO CUORE COSENZA,COSENZA,ITALY
IRIS CENTRO MEDICO COSENZA,COSENZA,ITALY
CENTRO MEDICO A COSSATO,COSSATO,ITALY
MARIA CECILIA HOSPITAL SPA,COTIGNOLA,ITALY
POLIAMBULATORIO TOTEM,CREMA,ITALY
ALESSANDRO BELLINZONA,CREMONA,ITALY
CASA DI CURA SAN CAMILLO - CREMONA,CREMONA,ITALY
WELFARE ITALIA CREMONA,CREMONA,ITALY
MARRELLI HOSPITAL,CROTONE,ITALY
CASA DI CURA PRIVATA LE TERRAZZE,CUNARDO,ITALY
AZIENDA OSPEDALIERA SANTA CROCE E CARLE,CUNEO,ITALY
CDC SPA CUNEO,CUNEO,ITALY
CENTRO SERVIZI MEDICI SMILE SRL,CUORGNE,ITALY
CUPRAMEDICA,CUPRA MARITTIMA,ITALY
POLIMEDICA CAMUNA,DARFO BOARIO TERME,ITALY
VITTORIO MIGLIAVADA,DESIO,ITALY
CORPORIS SANITAS,DOLO,ITALY
STOMATOLOGICO LARIANO,DUBINO,ITALY
ECOMEDICA,EMPOLI,ITALY
VITAL CENTER SRL,EMPOLI,ITALY
CAB POLIDIAGNOSTICO,ERBA,ITALY
CASA DI CURA VILLA DEI GERANI,ERICE,ITALY
MASTERGROUPFANO SRL,FANO,ITALY
HABILITA - CASA DI CURA I CEDRI,FARA NOVARESE,ITALY
TERME POMPEO,FERENTINO,ITALY
CASA DI CURA PRIVATA VILLA VERDE,FERMO,ITALY
CASA DI CURA QUISISANA - OSPEDALE PRIVATO,FERRARA,ITALY
CENTRO MEDICO FERRARA,FERRARA,ITALY
FERRARA MEDICAL CLINIC,FERRARA,ITALY
KYNESIS SRL,FERRARA,ITALY
POLIAMBULATORIO VITALIS,FERRARA,ITALY
CASA DI CURA FRATE SOLE KORIAN,FIGLINE VALDARNO,ITALY
CASA DELLA SALUTE FINALE EMILIA,FINALE EMILIA,ITALY
BROTHERHOOD OF MERCY BADIA A RIPOLI,FIRENZE,ITALY
CASA DI CURA ULIVELLA E GLICINI,FIRENZE,ITALY
CASA DI CURA VILLA CHERUBINI,FIRENZE,ITALY
CASA DI CURA VILLA DONATELLO PRESIDIO DI FIRENZE CENTRO,FIRENZE,ITALY
CENTRO DAY SURGERY MAURIZIO BUFALINI,FIRENZE,ITALY
CENTRO DI RIABILITAZIONE CAMES SRL,FIRENZE,ITALY
CENTRO OCULISTICO DIAGNOSTICO CHIRURGICO,FIRENZE,ITALY
CENTRO RIEDUCAZIONE ORTOFONICA,FIRENZE,ITALY
CLINICA IREOS,FIRENZE,ITALY
FABBRI FEDERICO,FIRENZE,ITALY
ISTITUTO FANFANI,FIRENZE,ITALY
LIFE CRONOS FIRENZE,FIRENZE,ITALY
MARIA BEATRICE HOSPITAL,FIRENZE,ITALY
MARIA TERESA HOSPITAL,FIRENZE,ITALY
POLIAMBULATORIO MISERICORDIA BADIA A RIPOLI FIRENZE QUARTIERE 3 GAVINANA,FIRENZE,ITALY
SALUS MEDICA TOSCANA,FIRENZE,ITALY
SPORT CLINIC CENTER,FIRENZE,ITALY
LIFEBRAIN POLIAMBULATORIO NUOVI LABORATORI FIUMICINO,FIUMICINO,ITALY
CASA DI CURA VILLA BRODETTI,FOGGIA,ITALY
CENTRO DI RICERCHE CLINICHE E ORMONALI,FOGGIA,ITALY
CENTRO MEDICO DIAGNOSTICO TELESFORO,FOGGIA,ITALY
DOTTSSA MARIAROSARIA DI PAOLA,FOGGIA,ITALY
CASA DI CURA VILLA AURORA SOCIETA RESPONSABILITA LIMITATA,FOLIGNO,ITALY
POLIAMBULATORIO GALENO (GALENO MED SRL),FONDI,ITALY
CENTRO CARDINAL FERRARI,FONTANELLATO,ITALY
OSPEDALI PRIVATI FORLI SS VILLA IGEA,FORLI,ITALY
PRIMUS FORLI MEDICAL CENTER,FORLI,ITALY
VILLA SERENA OSPEDALI PRIVATI FORLI,FORLI,ITALY
CASA DEL SOLE CLINICA POLISPECIALISTICA TOMMASO COSTA SRL,FORMIA,ITALY
POLIAMBULATORIO DI FORMIGINE,FORMIGINE,ITALY
CASA DI CURA SAN CAMILLO FORTE DEI MARMI,FORTE DEI MARMI,ITALY
DAMBROSIO COLOMBA,FRATTAMAGGIORE,ITALY
CENTRO MEDICO LIFE,FROSINONE,ITALY
F MEDICAL GROUP,FROSINONE,ITALY
SALUS SRL,FROSINONE,ITALY
CLINICA SAN FRANCESCO,GALATINA,ITALY
CEDAL CENTRO DIAGN ALTO LOMBARDO,GALLARATE,ITALY
ISTITUTO NUOVA RISANA SRL,GALLARATE,ITALY
CASA DI CURA VILLA GEMMA,GARDONE RIVIERA,ITALY
DENS GARLASCO,GARLASCO,ITALY
STUDIO DI DONFRANCESCO GASSINO TORINESE,GASSINO TORINESE,ITALY
SANTABARBARA HOSPITAL,GELA,ITALY
ALLIANCE MEDICAL - ISTITUTO SALUS,GENOVA,ITALY
ALLIANCE MEDICAL DIAGNOSTIC ISTITUTO SALUS,GENOVA,ITALY
BIOMEDICAL SPA GENOVA,GENOVA,ITALY
CASA DI CURA VILLA MONTALLEGRO,GENOVA,ITALY
CENTRO INMEDICA,GENOVA,ITALY
CHIROTHERAPIC,GENOVA,ITALY
DIAGNOSTICA MEDICA MANARA,GENOVA,ITALY
GVM - VILLA SERENA,GENOVA,ITALY
IRO CENTRO DIAGNOSTICO,GENOVA,ITALY
ISTITUTO IL BALUARDO,GENOVA,ITALY
ISTITUTO IL BALUARDO SERVIZI SANITARI,GENOVA,ITALY
OTTONELLO PAOLO ROBERTO,GENOVA,ITALY
SYNLAB IL BALUARDO CO EX TMA,GENOVA,ITALY
ZINI ALESSANDRO,GENOVA,ITALY
LUCEA MULTIMEDICA - SEDE DI GIOIA DEL COLLE,GIOIA DEL COLLE,ITALY
NOVA SALUS,GORIZIA,ITALY
NAMASTE SALUTE IMPRESA SOCIALE,GORLAGO,ITALY
STOMATOLOGICO LARIANO,GRAVEDONA,ITALY
CENTRO PEGASO,GROSSETO,ITALY
ISTITUTO NEUROTRAUMATOLOGICO ITALIANO,GROTTAFERRATA,ITALY
MITREO MEDICA,GROTTAFERRATA,ITALY
AGM ORAL CENTER,GROTTAMINARDA,ITALY
AMBULATORIO SANITARIO GRUPPO EUROMED,GUIDONIA MONTECELIO,ITALY
POLIAMBULATORIO LABSUD,IGLESIAS,ITALY
CENTRO MEDICO CHIRURGICO ISCHIA,ISCHIA,ITALY
CLINICA EPOREDIESE,IVREA,ITALY
SAUDINO CHINE MASSIMO,IVREA,ITALY
CLINICA TOMMASINI SPA,JERZU,ITALY
CENTRO MEDICO FENICE (FENICE DI MOSCA FIRICH ENTERPRISES CO),JESI,ITALY
PRESIDIO OSPEDALIERO VILLA LETIZIA,L AQUILA,ITALY
ALMA MATER,LA SPEZIA,ITALY
CENTRO MEDICO DUE SOLI,LA SPEZIA,ITALY
CLINIC IN LAINATE HUMANITAS MATER DOMINI,LAINATE,ITALY
COF LANZO HOSPITAL,LANZO D INTELVI,ITALY
AMBULATORIO POLISPECIALISTICO PONTINO,LATINA,ITALY
CENTRO MEDICO PATOL CLINICA DRREDI UGO,LATINA,ITALY
CLINICA SAN MARCO,LATINA,ITALY
ICOT ISTITUTO CHIR ORTOPEDICO TRAUMATOLOGICO,LATINA,ITALY
STUDIO SUSANI DI ROBERTO SUSANI,LATINA,ITALY
CASA DI CURA PROF PETRUCCIANI,LECCE,ITALY
CASA DI CURA VILLA BIANCA,LECCE,ITALY
GVM - CITTA DI LECCE HOSPITAL,LECCE,ITALY
ISTITUTO CALABRESE,LECCE,ITALY
ISTITUTO SANTA CHIARA,LECCE,ITALY
CD SAN NICOLO SYNLAB LECCO,LECCO,ITALY
CLINICA MONTI,LECCO,ITALY
GB MANGIONI HOSPITAL,LECCO,ITALY
MEDICAL TOWN,LENO,ITALY
OSPEDALE MULTIMEDICA,LIMBIATE,ITALY
LMC SRL UNIPERSONALE,LISSONE,ITALY
CASA DI CURA VILLA TIRRENA,LIVORNO,ITALY
STUDIO GAGLIANONE LIVORNO,LIVORNO,ITALY
DENS LODI,LODI,ITALY
ISTITUTI DI RICOVERO E CURA – GRUPPO ISENI SANITA,LONATE POZZOLO,ITALY
ISTITUTI DI RICOVERO E CURAGR ISENI,LONATE POZZOLO,ITALY
CASA DI CURA PRIVATA MD BARBANTINI,LUCCA,ITALY
CASA DI CURA SANTA ZITA,LUCCA,ITALY
CENTRO CHIRURGICO SANTA GEMMA,LUCCA,ITALY
CENTRO MEDICO OMNIA,LUCCA,ITALY
CHECK UP MEDICAL CENTER SANTO STEFANOEC,LUCCA,ITALY
ESCULAPIO,LUCCA,ITALY
FINMED 33,LUCCA,ITALY
DI GIANFILIPPO FIORENZO,LUCO DEI MARSI,ITALY
POLIAMBULATORIO CENTRO MEDICO AURORA,MACERATA,ITALY
POLO DIAGNOSTICO SALUS VILLALBA,MACERATA,ITALY
CASA DI CURA SAN MICHELE,MADDALONI,ITALY
IATREION MEDICINA POLISPECIALISTICA,MADDALONI,ITALY
POLIAMBULATORIO SANTA CRESCENZIA SRL,MAGENTA,ITALY
ISTITUTO SANTA CHIARA MAGLIE,MAGLIE,ITALY
CASA DI CURA VILLA RACHELE SRL,MAIDA,ITALY
CLINICA SAN MARTINO,MALGRATE,ITALY
AZIENDA OSPEDALIERA CARLO POMA,MANTOVA,ITALY
DIAGNOSTICA ROMEO MARANO,MARANO DI NAPOLI,ITALY
NUOVO AUXOLOGICO MEDA,MEDA,ITALY
BIOMEDICAL SPA MELE,MELE,ITALY
POLIMEDICA MELFI,MELFI,ITALY
STUDIO KELLER,MELFI,ITALY
ISTITUTO ORTOPEDICO VILLA SALUS,MELILLI,ITALY
CAB POLIDIAGNOSTICO,MERATE,ITALY
CLINICA MONTEVERGINE,MERCOGLIANO,ITALY
DIAGNOSTICA MEDICA,MERCOGLIANO,ITALY
CLINICA SAN MARTINO,MESE,ITALY
CASA DI CURA CAPPELLANI,MESSINA,ITALY
CASA DI CURA VILLA SALUS,MESSINA,ITALY
CENTRO MEDICINA RIABILITATIVA AMMANATO,MESSINA,ITALY
CURE ORTOPEDICHE TRAUMATOLOGICHE,MESSINA,ITALY
ISTITUTO ORTOPEDICO DEL MEZZOGIORNO,MESSINA,ITALY
SAN RAFFAELE CENTRO DI MEDICINA INTEGRATA,MEZZOLOMBARDO,ITALY
AMBULAT MULTISPECIALISTICO MULTIMEDICA,MILANO,ITALY
AUXOLOGICO ARIOSTO,MILANO,ITALY
AUXOLOGICO CAPITANIO,MILANO,ITALY
AUXOLOGICO MOSE BIANCHI,MILANO,ITALY
AUXOLOGICO PIER LOMBARDO,MILANO,ITALY
BIONICS CDI CAIROLI,MILANO,ITALY
BIONICS CDI LAVATER,MILANO,ITALY
BIONICS CDI PORTELLO,MILANO,ITALY
BIONICS CDI VIALE MONZA,MILANO,ITALY
BLUE EYE SRL,MILANO,ITALY
CA GRANDA OSPEDALE MAGGIORE POLICLINICO,MILANO,ITALY
CASA DI CURA COLUMBUS 3C,MILANO,ITALY
CASA DI CURA IGEA,MILANO,ITALY
CASA DI CURA LA MADONNINA,MILANO,ITALY
CASA DI CURA PRIVATA DEL POLICLINICO,MILANO,ITALY
CASA DI CURA SAN CAMILLO - MILANO,MILANO,ITALY
CASA DI CURA SAN GIOVANNI,MILANO,ITALY
CDI CENTRO DIAGNOSTICO ITALIANO,MILANO,ITALY
CENTRO MEDICO CAMEDI,MILANO,ITALY
CENTRO MEDICO MILANO UNISALUS,MILANO,ITALY
